"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.121758708E0,-1.646575928E-2,-3.742218018E-3,9.843979340E0
1.131771708E0,-2.395019531E-2,-2.544708252E-3,9.844278717E0
1.141785708E0,-2.844085693E-2,1.646575928E-3,9.842183075E0
1.151799708E0,-2.619552612E-2,-3.592529297E-3,9.844129028E0
1.161813708E0,-2.664459229E-2,7.484436035E-4,9.833201752E0
1.171826708E0,-3.113525391E-2,6.735992432E-3,9.851463776E0
1.181840708E0,-2.350112915E-2,4.490661621E-4,9.854607239E0
1.191854708E0,-2.424957275E-2,1.047821045E-3,9.840087433E0
1.201867708E0,-3.128494263E-2,5.089416504E-3,9.850715332E0
1.211881708E0,-2.724334717E-2,4.790039062E-3,9.843530273E0
1.221895708E0,-2.978805542E-2,3.442840576E-3,9.842183075E0
1.231908708E0,-2.260299683E-2,7.634124756E-3,9.841734009E0
1.241922708E0,-2.439926147E-2,2.844085693E-3,9.844278717E0
1.251936708E0,-1.586700439E-2,8.532257080E-3,9.847422180E0
1.261950708E0,-2.409988403E-2,1.182540894E-2,9.846524048E0
1.271963708E0,-2.275268555E-2,2.544708252E-3,9.837093658E0
1.281977708E0,-1.945953369E-2,2.844085693E-3,9.841883698E0
1.291991708E0,-2.140548706E-2,6.436614990E-3,9.843979340E0
1.302004708E0,-2.514770508E-2,-4.790039062E-3,9.850266266E0
1.312018708E0,-2.604583740E-2,9.131011963E-3,9.846224670E0
1.322032708E0,-2.814147949E-2,1.062789917E-2,9.844877472E0
1.332046708E0,-2.305206299E-2,1.197509766E-3,9.844278717E0
1.342059708E0,-2.454895020E-2,5.239105225E-3,9.845625916E0
1.352073708E0,-2.589614868E-2,6.436614990E-3,9.856553192E0
1.362087708E0,-2.694396973E-2,8.981323242E-3,9.845326538E0
1.372100708E0,-2.574645996E-2,8.831634521E-3,9.858798523E0
1.382114708E0,-2.993774414E-2,1.272354126E-2,9.842482452E0
1.392128708E0,-3.248245239E-2,7.035369873E-3,9.842332764E0
1.402142708E0,-2.230361938E-2,4.041595459E-3,9.850266266E0
1.412155708E0,-2.619552612E-2,5.987548828E-4,9.846074982E0
1.422169708E0,-2.020797729E-2,3.891906738E-3,9.848919067E0
1.432183708E0,-2.155517578E-2,5.239105225E-3,9.845925293E0
1.442196708E0,-3.278182983E-2,-5.538482666E-3,9.837243347E0
1.452210708E0,-2.634521484E-2,3.442840576E-3,9.834998016E0
1.462224708E0,-3.083587646E-2,3.143463135E-3,9.832004242E0
1.472238708E0,-2.050735474E-2,2.245330811E-3,9.836345215E0
1.482251708E0,-1.975891113E-2,7.185058594E-3,9.840237122E0
1.492265708E0,-2.499801636E-2,-1.496887207E-4,9.845775604E0
1.502279708E0,-2.993774414E-2,3.891906738E-3,9.847721558E0
1.512292708E0,-3.338058472E-2,7.334747314E-3,9.846074982E0
1.522306708E0,-2.634521484E-2,3.143463135E-3,9.839338989E0
1.532320708E0,-2.484832764E-2,-1.796264648E-3,9.847571869E0
1.542334708E0,-2.769241333E-2,8.831634521E-3,9.847422180E0
1.552347708E0,-2.469863892E-2,8.232879639E-3,9.861343231E0
1.562361708E0,-3.143463135E-2,9.131011963E-3,9.844278717E0
1.572375708E0,-2.215393066E-2,3.442840576E-3,9.845925293E0
1.582388708E0,-2.275268555E-2,-1.796264648E-3,9.842781830E0
1.592402708E0,-2.634521484E-2,-2.844085693E-3,9.849517822E0
1.602416708E0,-2.050735474E-2,5.388793945E-3,9.853260040E0
1.612430708E0,-2.350112915E-2,7.484436035E-4,9.850865021E0
1.622443708E0,-2.799179077E-2,2.844085693E-3,9.850266266E0
1.632457708E0,-2.020797729E-2,2.993774414E-3,9.845925293E0
1.642471708E0,-2.080673218E-2,5.987548828E-3,9.846224670E0
1.652484708E0,-2.589614868E-2,1.466949463E-2,9.836943970E0
1.662498708E0,-2.514770508E-2,8.831634521E-3,9.835147705E0
1.672512708E0,-2.275268555E-2,2.544708252E-3,9.842332764E0
1.682526708E0,-2.963836670E-2,7.783813477E-3,9.847721558E0
1.692539708E0,-2.978805542E-2,7.334747314E-3,9.848919067E0
1.702553708E0,-2.709365845E-2,1.945953369E-3,9.842931519E0
1.712567708E0,-3.008743286E-2,-1.047821045E-3,9.830507355E0
1.722580708E0,-2.454895020E-2,1.646575928E-3,9.837393036E0
1.732594708E0,-2.395019531E-2,3.891906738E-3,9.845176849E0
1.742608708E0,-2.694396973E-2,3.293151855E-3,9.849817200E0
1.752622708E0,-2.514770508E-2,-5.089416504E-3,9.840237122E0
1.762635708E0,-1.975891113E-2,8.981323242E-4,9.851613464E0
1.772649708E0,-3.353027344E-2,1.616638184E-2,9.828262024E0
1.782663708E0,-2.589614868E-2,3.143463135E-3,9.844877472E0
1.792676708E0,-1.751358032E-2,3.592529297E-3,9.840985565E0
1.802690708E0,-2.305206299E-2,2.694396973E-3,9.843380585E0
1.812704708E0,-2.724334717E-2,8.532257080E-3,9.851164398E0
