"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.737601708E0,-2.243492889E1,3.742179871E-1,-5.023526001E1
1.747615708E0,-2.249634552E1,3.436888456E-1,-5.068411255E1
1.757628708E0,-2.269918060E1,4.103748798E-1,-5.053149414E1
1.767642708E0,-2.263048553E1,4.571465254E-1,-5.066009521E1
1.777656708E0,-2.257305145E1,5.553954840E-1,-5.071368408E1
1.787670708E0,-2.242183685E1,8.543257713E-1,-5.021112061E1
1.797683708E0,-2.264754486E1,7.832618356E-1,-5.043200684E1
1.807697708E0,-2.275237274E1,8.022683859E-1,-5.050051880E1
1.817711708E0,-2.274404144E1,7.125122547E-1,-5.031274414E1
1.827724708E0,-2.235150909E1,9.044569731E-1,-5.079934692E1
1.837738708E0,-2.246768951E1,9.175291061E-1,-5.060388184E1
1.847752708E0,-2.249228668E1,6.101437807E-1,-5.062860107E1
1.857766708E0,-2.262972260E1,7.051198483E-1,-5.045028687E1
1.867779708E0,-2.248967743E1,7.180147171E-1,-5.064163208E1
1.877793708E0,-2.248967743E1,7.180147171E-1,-5.064163208E1
1.887807708E0,-2.264006805E1,6.454583406E-1,-5.073858643E1
1.897820708E0,-2.236847687E1,6.528403759E-1,-5.062188721E1
1.907834708E0,-2.249102020E1,6.731601954E-1,-5.057434082E1
1.917848708E0,-2.241097260E1,8.365157247E-1,-5.038214111E1
1.927862708E0,-2.247931671E1,5.673177242E-1,-5.035272217E1
1.937875708E0,-2.256179047E1,5.171836615E-1,-5.039733887E1
1.947889708E0,-2.243074799E1,5.519824028E-1,-5.030514526E1
1.957903708E0,-2.245903778E1,4.591342211E-1,-5.062466431E1
1.967916708E0,-2.232016754E1,7.543811798E-1,-5.090216064E1
1.977930708E0,-2.243534088E1,6.257022619E-1,-5.061471558E1
1.987944708E0,-2.226529694E1,5.628697872E-1,-5.052029419E1
1.997958708E0,-2.236945343E1,4.409139156E-1,-5.065423584E1
2.007971708E0,-2.233586884E1,4.962283373E-1,-5.064889526E1
2.017985708E0,-2.247664642E1,7.788127661E-1,-5.079919434E1
2.027999708E0,-2.259123993E1,5.298489332E-1,-5.035928345E1
2.038012708E0,-2.249897003E1,4.464598894E-1,-5.014434814E1
2.048026708E0,-2.249597931E1,5.763145685E-1,-5.038403320E1
2.058040708E0,-2.242765045E1,4.449696541E-1,-5.044613647E1
2.068054708E0,-2.268553925E1,4.158837795E-1,-5.076669312E1
2.078068042E0,-2.288295746E1,4.017983675E-1,-5.075692749E1
2.088082042E0,-2.269388580E1,6.043637991E-1,-5.070507812E1
2.098096042E0,-2.261153412E1,9.309640527E-1,-5.049380493E1
2.108109042E0,-2.257799530E1,8.225721121E-1,-5.085668945E1
2.118123042E0,-2.263257599E1,7.726634145E-1,-5.096389771E1
2.128137042E0,-2.271086884E1,6.508599520E-1,-5.097183228E1
2.138150042E0,-2.246787262E1,4.808789492E-1,-5.074826050E1
2.148164042E0,-2.247667694E1,3.771239519E-1,-5.094360352E1
2.158178042E0,-2.260944366E1,6.400117874E-1,-5.078439331E1
2.168192042E0,-2.280527496E1,6.440747976E-1,-5.092886353E1
2.178205042E0,-2.270066071E1,7.443920374E-1,-5.094607544E1
2.188219042E0,-2.275995636E1,7.502707243E-1,-5.121826172E1
2.198233042E0,-2.284719086E1,6.900174618E-1,-5.085684204E1
2.208246042E0,-2.261077118E1,1.071651816E0,-5.097564697E1
2.218260042E0,-2.255808258E1,5.850522518E-1,-5.089556885E1
2.228274042E0,-2.258452606E1,7.202253342E-1,-5.068026733E1
2.238288042E0,-2.250617218E1,6.163523197E-1,-5.079922485E1
2.248301042E0,-2.259639740E1,9.446698427E-1,-5.074655151E1
2.258315042E0,-2.268015289E1,9.187676311E-1,-5.083682251E1
2.268329042E0,-2.262694550E1,7.423615456E-1,-5.081732178E1
2.278342042E0,-2.270981598E1,5.776567459E-1,-5.081033325E1
2.288356042E0,-2.292369843E1,7.040498257E-1,-5.087472534E1
2.298370042E0,-2.265100861E1,8.703812361E-1,-5.093865967E1
2.308384042E0,-2.275988007E1,5.628418922E-1,-5.079251099E1
2.318397042E0,-2.260376740E1,5.512230396E-1,-5.087109375E1
2.328411042E0,-2.268920135E1,5.558958054E-1,-5.069198608E1
2.338425042E0,-2.261840057E1,5.484164953E-1,-5.082965088E1
2.348438042E0,-2.260462189E1,7.356474400E-1,-5.067630005E1
2.358452042E0,-2.254805756E1,4.047577381E-1,-5.091397095E1
2.368466042E0,-2.250205231E1,5.482245684E-1,-5.100201416E1
2.378480042E0,-2.262162018E1,5.643209219E-1,-5.111526489E1
2.388493042E0,-2.278884125E1,5.920221806E-1,-5.050384521E1
2.398507042E0,-2.291794586E1,7.441501617E-1,-5.059033203E1
2.408521042E0,-2.283716583E1,7.129455805E-1,-5.066976929E1
2.418534042E0,-2.291068268E1,3.030765057E-1,-5.096356201E1
2.428548042E0,-2.271678925E1,5.131831169E-1,-5.124822998E1
2.438562042E0,-2.282498932E1,7.743487358E-1,-5.094821167E1
