"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.337052708E0,-3.838390112E-4,-1.242823200E-3,-9.190589190E-4
1.347066708E0,1.755477861E-3,1.018467126E-3,4.218425602E-4
1.357080708E0,4.066247493E-5,-1.063735690E-4,-2.929015085E-3
1.367094708E0,1.015646383E-3,-1.130313613E-4,-6.895633414E-4
1.377107708E0,-1.445366070E-4,-6.497211289E-4,1.429049997E-3
1.387121708E0,-2.496907022E-3,-4.939262290E-4,1.115862280E-3
1.397135708E0,9.820414707E-4,2.109157620E-3,1.371093560E-3
1.407148708E0,-2.861563116E-4,-9.958217852E-4,5.321977660E-4
1.417162708E0,1.490012743E-3,-1.701382338E-3,9.181043133E-4
1.427176708E0,1.322233118E-3,-1.106165815E-3,1.263250131E-3
1.437190708E0,1.279154792E-3,-1.995435916E-3,-7.742643356E-4
1.447203708E0,6.413273513E-4,-1.808215631E-3,-1.245910302E-3
1.457217708E0,1.241527498E-3,3.986456431E-4,-1.296093222E-3
1.467231708E0,-1.572368201E-3,2.963803709E-4,-7.679886185E-4
1.477244708E0,1.243766397E-3,3.736489452E-5,-9.694509208E-4
1.487258708E0,2.129001543E-3,1.570280641E-3,-3.234735690E-3
1.497272708E0,-1.270766836E-3,2.962135943E-3,-2.268057317E-3
1.507286708E0,1.193456352E-3,-2.198088914E-4,4.893797450E-4
1.517299708E0,1.211222261E-3,5.471072625E-3,8.243122138E-4
1.527313708E0,-5.464637652E-4,-1.866202452E-3,-4.281727597E-4
1.537327708E0,9.103324264E-4,-1.203982159E-3,8.486742154E-4
1.547340708E0,-3.866273910E-4,1.673297025E-3,-1.561366953E-4
1.557354708E0,7.188022137E-4,4.694561940E-4,2.281263936E-3
1.567368708E0,7.118778303E-4,5.349696148E-4,-1.653289888E-3
1.577382708E0,1.704879105E-4,3.691788297E-4,-7.033655420E-4
1.587395708E0,-1.024205703E-3,-1.116332598E-3,-1.307636499E-3
1.597409708E0,3.289543092E-4,1.389379613E-4,2.210066887E-3
1.607423708E0,1.100422814E-4,-1.378797460E-3,2.523772418E-4
1.617436708E0,8.109910414E-4,2.197995782E-4,1.935071312E-3
1.627450708E0,-4.247156903E-4,2.694675000E-3,-1.445811708E-3
1.637464708E0,-3.357008100E-4,1.111335121E-3,2.327932976E-3
1.647478708E0,6.249016151E-4,6.548692472E-4,-1.664145384E-3
1.657491708E0,-9.548198432E-5,-7.459544577E-4,9.878906421E-4
1.667505708E0,1.270985231E-3,-1.267695334E-4,7.002688944E-4
1.677519708E0,-7.131509483E-5,-1.416003797E-4,8.068424650E-4
1.687532708E0,-1.005019527E-3,1.004890306E-3,4.592998885E-4
1.697546708E0,4.882020876E-4,8.369823918E-4,-8.281320333E-5
1.707560708E0,-1.930747181E-3,-5.529213231E-4,-1.145148184E-3
1.717574708E0,-1.276305411E-3,1.777968369E-3,2.690656111E-4
1.727587708E0,2.289401367E-3,2.663203049E-3,-1.403666101E-3
1.737601708E0,3.356765956E-5,-1.466651214E-3,1.837468473E-3
1.747615708E0,1.429330558E-3,-9.888801724E-4,-3.207572736E-4
1.757628708E0,-3.424193710E-5,6.906068884E-4,5.543190055E-4
1.767642708E0,2.333308570E-3,8.381460793E-4,-2.708852291E-3
1.777656708E0,2.607461065E-3,-7.106952835E-4,-1.250850968E-3
1.787670708E0,-4.770979285E-5,8.147631306E-4,-1.041526441E-3
1.797683708E0,1.452310011E-3,-2.912267810E-3,2.575261053E-3
1.807697708E0,3.098146990E-4,-1.221160404E-3,-5.172016099E-4
1.817711708E0,1.157196239E-3,-2.486997284E-3,7.532085292E-4
1.827724708E0,3.336461261E-3,5.263695493E-4,1.901829848E-3
1.837738708E0,-2.259318717E-3,8.539119735E-4,-1.170865726E-3
1.847752708E0,-2.492877655E-3,-7.053690497E-4,7.412838750E-4
1.857766708E0,-5.112532526E-4,-1.039074035E-3,1.998717431E-3
1.867779708E0,-1.579180826E-3,-3.671583254E-4,2.173953457E-3
1.877793708E0,-3.539221361E-4,3.354628570E-4,-3.785039298E-4
1.887807708E0,-1.410398167E-3,1.088072080E-3,5.525369197E-4
1.897820708E0,4.123440012E-3,3.913224209E-3,-2.012295183E-3
1.907834708E0,-2.327801194E-3,-1.171815442E-3,-6.191958673E-4
1.917848708E0,2.497832291E-3,-2.573949285E-3,1.571255503E-3
1.927862708E0,1.348944381E-3,-2.226445358E-4,-4.173265770E-4
1.937875708E0,-1.516539138E-3,3.781064879E-4,-4.301141016E-4
1.947889708E0,-4.925541580E-4,-6.386884488E-4,1.116916537E-3
1.957903708E0,1.710472628E-3,-4.467673134E-4,7.890942506E-4
1.967916708E0,-2.509838436E-3,-7.144149859E-4,-9.933626279E-5
1.977930708E0,1.708830707E-3,6.006110925E-4,1.528202556E-4
1.987944708E0,2.483543940E-3,-1.275319373E-3,4.050214775E-4
1.997958708E0,2.362547442E-3,-6.163527723E-4,4.095258191E-5
2.007971708E0,1.271183603E-3,-9.820046835E-4,2.030333737E-3
2.017985708E0,4.952708259E-4,-2.053559292E-4,-9.816791862E-5
2.027999708E0,-5.600322038E-5,7.727649063E-7,-1.765573397E-3
2.038012708E0,-1.972135156E-3,1.086106524E-3,1.468115486E-3
2.048026708E0,-4.372708499E-3,8.043441921E-4,9.788926691E-4
2.058040708E0,1.677848399E-3,-4.392482806E-4,-2.828845754E-5
